"filename","chromosome","start_pos","end_pos","tree"
"Chr1_RagTag.57000001-57200000.min4.phy.treefile","Chr1",57000001,57200000,"((Crnoc59478:0.1043673591,((Cratr320360:0.0835783911,(Cstr9577:0.0627441327,Ceery21146:0.0657738949)100:0.0094070619)99:0.0063284273,Ccgol2213:0.0803250174)100:0.0230483767)100:0.0311298777,Cvar27099:0.3690146782,Cuund34614:0.1232563844);"
"Chr1_RagTag.57200001-57400000.min4.phy.treefile","Chr1",57200001,57400000,"((Crnoc59478:0.1198435951,((Cratr320360:0.0924428516,(Cstr9577:0.0792186689,Ceery21146:0.0756375558)79:0.0079685053)41:0.0036754141,Ccgol2213:0.0805429341)100:0.0215554611)100:0.0257579284,Cvar27099:0.3713916898,Cuund34614:0.1275941282);"
"Chr1_RagTag.57400001-57600000.min4.phy.treefile","Chr1",57400001,57600000,"((Crnoc59478:0.1172302440,(Cratr320360:0.0840628892,((Cstr9577:0.0644738558,Ceery21146:0.0630016819)100:0.0064003694,Ccgol2213:0.0822741790)73:0.0043267377)100:0.0230233605)100:0.0265636775,Cvar27099:0.3537344019,Cuund34614:0.1196255728);"
"Chr1_RagTag.57600001-57800000.min4.phy.treefile","Chr1",57600001,57800000,"((Crnoc59478:0.1226564017,(((Cratr320360:0.0778063230,Ceery21146:0.0666416522)79:0.0049591290,Cstr9577:0.0637686628)100:0.0091674313,Ccgol2213:0.0840675526)100:0.0194409201)100:0.0310197078,Cvar27099:0.3404196093,Cuund34614:0.1222162413);"
"Chr1_RagTag.57800001-58000000.min4.phy.treefile","Chr1",57800001,5.8e+07,"((Crnoc59478:0.1181112308,((Cratr320360:0.0818100136,(Cstr9577:0.0565107126,Ceery21146:0.0616738676)100:0.0070407800)94:0.0057176177,Ccgol2213:0.0720609334)100:0.0202729877)100:0.0378155458,Cvar27099:0.3377676432,Cuund34614:0.1394131794);"
"Chr1_RagTag.58000001-58200000.min4.phy.treefile","Chr1",58000001,58200000,"((Crnoc59478:0.1113685581,((Cratr320360:0.0779825340,(Cstr9577:0.0573601252,Ceery21146:0.0587109465)100:0.0062478900)99:0.0042157554,Ccgol2213:0.0729601122)100:0.0208883340)100:0.0493292391,Cvar27099:0.3326707764,Cuund34614:0.1447253372);"
"Chr1_RagTag.58200001-58400000.min4.phy.treefile","Chr1",58200001,58400000,"((Crnoc59478:0.1188412917,((Cratr320360:0.0834525135,(Cstr9577:0.0626226089,Ceery21146:0.0721926469)71:0.0053193234)89:0.0060914397,Ccgol2213:0.0797167077)100:0.0206099476)100:0.0353869753,Cvar27099:0.3391886747,Cuund34614:0.1440731885);"
"Chr1_RagTag.58400001-58600000.min4.phy.treefile","Chr1",58400001,58600000,"((Crnoc59478:0.1178234582,((Cratr320360:0.0896881620,(Cstr9577:0.0636082584,Ceery21146:0.0603882970)81:0.0025876585)54:0.0020413102,Ccgol2213:0.0767719708)100:0.0202526320)100:0.0539604888,Cvar27099:0.3509679213,Cuund34614:0.1452719368);"
"Chr1_RagTag.58600001-58800000.min4.phy.treefile","Chr1",58600001,58800000,"((Crnoc59478:0.1201325353,(((Cratr320360:0.0844471507,Cstr9577:0.0663344466)80:0.0056134856,Ccgol2213:0.0771772484)58:0.0034442300,Ceery21146:0.0688760611)100:0.0167689339)100:0.0416444612,Cvar27099:0.3389727862,Cuund34614:0.1357276374);"
"Chr1_RagTag.58800001-59000000.min4.phy.treefile","Chr1",58800001,5.9e+07,"((Crnoc59478:0.1151105355,((Cratr320360:0.0833814739,(Cstr9577:0.0637680642,Ceery21146:0.0657728831)93:0.0031124939)100:0.0043958028,Ccgol2213:0.0840934809)100:0.0174468400)100:0.0433717738,Cvar27099:0.3533337783,Cuund34614:0.1409243623);"
"Chr1_RagTag.59000001-59200000.min4.phy.treefile","Chr1",59000001,59200000,"((Crnoc59478:0.1173378629,(((Cratr320360:0.0885643625,Cstr9577:0.0691347411)46:0.0049028233,Ceery21146:0.0751448275)67:0.0040094594,Ccgol2213:0.0839134712)100:0.0200618497)100:0.0291973538,Cvar27099:0.3340584872,Cuund34614:0.1249317803);"
"Chr1_RagTag.59200001-59400000.min4.phy.treefile","Chr1",59200001,59400000,"((Crnoc59478:0.1168155076,((Cratr320360:0.0939497909,(Cstr9577:0.0695275198,Ceery21146:0.0692416053)100:0.0085838371)65:0.0053758714,Ccgol2213:0.0898550831)100:0.0112860622)100:0.0342214391,Cvar27099:0.3562705473,Cuund34614:0.1215865584);"
"Chr1_RagTag.59400001-59600000.min4.phy.treefile","Chr1",59400001,59600000,"((Crnoc59478:0.1202570384,(Cratr320360:0.0934500828,((Cstr9577:0.0637264124,Ceery21146:0.0614817664)100:0.0084723722,Ccgol2213:0.0846268581)86:0.0076746224)100:0.0222323243)100:0.0195862855,Cvar27099:0.3661185424,Cuund34614:0.1289177588);"
"Chr1_RagTag.59600001-59800000.min4.phy.treefile","Chr1",59600001,59800000,"((Crnoc59478:0.1131987583,(Cratr320360:0.0809818664,((Cstr9577:0.0639960146,Ceery21146:0.0637423410)91:0.0057645223,Ccgol2213:0.0728491987)86:0.0056592737)100:0.0210917374)100:0.0219390402,Cvar27099:0.3502285843,Cuund34614:0.1156507412);"
"Chr1_RagTag.59800001-60000000.min4.phy.treefile","Chr1",59800001,6e+07,"((Crnoc59478:0.1076808659,((Cratr320360:0.0859450300,(Cstr9577:0.0690657575,Ceery21146:0.0700164662)79:0.0059366275)60:0.0050980376,Ccgol2213:0.0860292463)100:0.0158795926)100:0.0265558424,Cvar27099:0.3420015414,Cuund34614:0.1058817901);"
"Chr1_RagTag.60000001-60200000.min4.phy.treefile","Chr1",60000001,60200000,"((Crnoc59478:0.1073112935,((Cratr320360:0.0882097920,(Cstr9577:0.0617071026,Ceery21146:0.0662556009)92:0.0059351542)62:0.0039229203,Ccgol2213:0.0757558284)100:0.0140631639)100:0.0289747841,Cvar27099:0.3393692281,Cuund34614:0.1152713313);"
"Chr1_RagTag.60200001-60400000.min4.phy.treefile","Chr1",60200001,60400000,"((Crnoc59478:0.1111163458,((Cratr320360:0.0867008303,(Cstr9577:0.0706772678,Ccgol2213:0.0736532156)55:0.0048166209)83:0.0047835197,Ceery21146:0.0722490964)100:0.0145051965)100:0.0245980230,Cvar27099:0.3530847027,Cuund34614:0.1183324196);"
"Chr1_RagTag.60400001-60600000.min4.phy.treefile","Chr1",60400001,60600000,"((Crnoc59478:0.1200527573,(((Cratr320360:0.0767481493,Cstr9577:0.0659390858)70:0.0043352380,Ceery21146:0.0743242261)68:0.0042565016,Ccgol2213:0.0799836447)100:0.0234386887)100:0.0234078273,Cvar27099:0.3537081448,Cuund34614:0.1354322139);"
"Chr1_RagTag.60600001-60800000.min4.phy.treefile","Chr1",60600001,60800000,"((Crnoc59478:0.1138132213,((Cratr320360:0.0897607266,(Cstr9577:0.0688696321,Ceery21146:0.0745649217)98:0.0065746433)54:0.0041364786,Ccgol2213:0.0776219542)100:0.0303605327)100:0.0279523145,Cvar27099:0.3953714399,Cuund34614:0.1313997328);"
"Chr1_RagTag.60800001-61000000.min4.phy.treefile","Chr1",60800001,6.1e+07,"((Crnoc59478:0.1243653954,((Cratr320360:0.0851832724,(Cstr9577:0.0695821932,Ceery21146:0.0689586854)100:0.0071230771)100:0.0083767280,Ccgol2213:0.0875043494)100:0.0235343194)100:0.0319396428,Cvar27099:0.3328868419,Cuund34614:0.1352753115);"
"Chr1_RagTag.61000001-61200000.min4.phy.treefile","Chr1",61000001,61200000,"((Crnoc59478:0.1294233366,(Cratr320360:0.0920686306,((Cstr9577:0.0658728500,Ceery21146:0.0659099876)98:0.0065081138,Ccgol2213:0.0764971713)100:0.0073456878)100:0.0230516172)100:0.0184206460,Cvar27099:0.3439776060,Cuund34614:0.1164859881);"
"Chr1_RagTag.61200001-61400000.min4.phy.treefile","Chr1",61200001,61400000,"((Crnoc59478:0.1334067480,(((Cratr320360:0.0855903284,Cstr9577:0.0770070369)79:0.0035433055,Ceery21146:0.0686850072)88:0.0055299906,Ccgol2213:0.0747820949)100:0.0219363446)100:0.0228721856,Cvar27099:0.3493086963,Cuund34614:0.1182172551);"
"Chr1_RagTag.61400001-61600000.min4.phy.treefile","Chr1",61400001,61600000,"((Crnoc59478:0.1249505112,((Cratr320360:0.0801275553,(Cstr9577:0.0642498373,Ceery21146:0.0649313069)67:0.0026973866)82:0.0036630095,Ccgol2213:0.0786039456)100:0.0251310783)100:0.0333200339,Cvar27099:0.3550244971,Cuund34614:0.1343386339);"
"Chr1_RagTag.61600001-61800000.min4.phy.treefile","Chr1",61600001,61800000,"((Crnoc59478:0.1260016459,((Cratr320360:0.0939772079,(Cstr9577:0.0706267007,Ceery21146:0.0737977475)70:0.0059572646)100:0.0085568772,Ccgol2213:0.0927386094)100:0.0166880421)100:0.0253613390,Cvar27099:0.3616777011,Cuund34614:0.1249192648);"
"Chr1_RagTag.61800001-62000000.min4.phy.treefile","Chr1",61800001,6.2e+07,"((Crnoc59478:0.1229729760,(Cratr320360:0.0868989621,((Cstr9577:0.0663520955,Ceery21146:0.0651830128)81:0.0052430052,Ccgol2213:0.0777487327)93:0.0045162211)100:0.0217968585)100:0.0156998060,Cvar27099:0.3672073842,Cuund34614:0.1164036891);"
"Chr1_RagTag.62000001-62200000.min4.phy.treefile","Chr1",62000001,62200000,"((Crnoc59478:0.1108276351,((Cratr320360:0.0877651366,(Cstr9577:0.0655649377,Ceery21146:0.0708622827)68:0.0052044555)91:0.0055228366,Ccgol2213:0.0789615183)100:0.0172271205)100:0.0277964940,Cvar27099:0.3429570426,Cuund34614:0.1284166215);"
"Chr1_RagTag.62200001-62400000.min4.phy.treefile","Chr1",62200001,62400000,"((Crnoc59478:0.1137050752,(Cratr320360:0.0805305154,((Cstr9577:0.0586412200,Ceery21146:0.0613137255)79:0.0052043366,Ccgol2213:0.0792220721)42:0.0034930328)100:0.0158280327)100:0.0346196348,Cvar27099:0.3014204912,Cuund34614:0.1157943328);"
"Chr1_RagTag.62400001-62600000.min4.phy.treefile","Chr1",62400001,62600000,"((Crnoc59478:0.1073995173,(Cratr320360:0.0758132187,((Cstr9577:0.0588455116,Ceery21146:0.0581906051)71:0.0030388207,Ccgol2213:0.0657889702)62:0.0026423054)100:0.0249430712)100:0.0421960449,Cvar27099:0.3252090153,Cuund34614:0.1271296599);"
"Chr1_RagTag.62600001-62800000.min4.phy.treefile","Chr1",62600001,62800000,"((Crnoc59478:0.1113038781,(Cratr320360:0.0830253016,((Cstr9577:0.0569227800,Ceery21146:0.0617793832)100:0.0078072762,Ccgol2213:0.0759761793)53:0.0044286992)100:0.0215625932)100:0.0281526053,Cvar27099:0.3351107244,Cuund34614:0.1175137133);"
"Chr1_RagTag.62800001-63000000.min4.phy.treefile","Chr1",62800001,6.3e+07,"((Crnoc59478:0.1163280688,((Cratr320360:0.0811937628,(Cstr9577:0.0652460730,Ceery21146:0.0667854187)98:0.0074110239)83:0.0047915823,Ccgol2213:0.0796150651)100:0.0206356047)100:0.0318240453,Cvar27099:0.3159748651,Cuund34614:0.1190126356);"
"Chr1_RagTag.63000001-63200000.min4.phy.treefile","Chr1",63000001,63200000,"((Crnoc59478:0.1147743087,((Cratr320360:0.0783893778,(Cstr9577:0.0657762680,Ceery21146:0.0677705583)98:0.0066701809)98:0.0054294952,Ccgol2213:0.0783198300)100:0.0150599881)100:0.0320429914,Cvar27099:0.3273635162,Cuund34614:0.1214473117);"
"Chr1_RagTag.63200001-63400000.min4.phy.treefile","Chr1",63200001,63400000,"((Crnoc59478:0.1138109932,((Cratr320360:0.0880873012,(Cstr9577:0.0672278657,Ceery21146:0.0688170456)96:0.0046153872)66:0.0036117344,Ccgol2213:0.0745466612)100:0.0207814940)100:0.0379942480,Cvar27099:0.3363637143,Cuund34614:0.1322656926);"
"Chr1_RagTag.63400001-63600000.min4.phy.treefile","Chr1",63400001,63600000,"((Crnoc59478:0.1167640277,((Cratr320360:0.0845809257,(Cstr9577:0.0655853969,Ceery21146:0.0720718337)91:0.0050184236)83:0.0037217940,Ccgol2213:0.0809713133)100:0.0208100245)100:0.0441196343,Cvar27099:0.3177712971,Cuund34614:0.1351140712);"
"Chr1_RagTag.63600001-63800000.min4.phy.treefile","Chr1",63600001,63800000,"((Crnoc59478:0.1116322892,((Cratr320360:0.0862173219,(Cstr9577:0.0649673127,Ceery21146:0.0729594314)77:0.0073810613)57:0.0028939157,Ccgol2213:0.0803200302)100:0.0195201513)100:0.0361142235,Cvar27099:0.3287853496,Cuund34614:0.1277318424);"
"Chr1_RagTag.63800001-64000000.min4.phy.treefile","Chr1",63800001,6.4e+07,"((Crnoc59478:0.1164348117,((Cratr320360:0.0886038640,(Cstr9577:0.0669377194,Ceery21146:0.0678976086)96:0.0057481646)85:0.0055988062,Ccgol2213:0.0881052101)100:0.0219009617)100:0.0267701373,Cvar27099:0.3366456820,Cuund34614:0.1210272160);"
"Chr1_RagTag.64000001-64200000.min4.phy.treefile","Chr1",64000001,64200000,"((Crnoc59478:0.1118990797,(Cratr320360:0.0953527023,((Cstr9577:0.0654458024,Ceery21146:0.0713476874)98:0.0089801868,Ccgol2213:0.0859004937)96:0.0070287188)100:0.0195391349)100:0.0236858117,Cvar27099:0.3636330720,Cuund34614:0.1276005939);"
"Chr1_RagTag.64200001-64400000.min4.phy.treefile","Chr1",64200001,64400000,"((Crnoc59478:0.1143279879,((Cratr320360:0.0924319251,(Cstr9577:0.0654321540,Ceery21146:0.0670903225)94:0.0064184296)62:0.0040881205,Ccgol2213:0.0835501117)100:0.0163881559)100:0.0354434381,Cvar27099:0.3327342265,Cuund34614:0.1354831926);"
"Chr1_RagTag.64400001-64600000.min4.phy.treefile","Chr1",64400001,64600000,"((Crnoc59478:0.1141943384,((Cratr320360:0.0819001515,(Cstr9577:0.0651418299,Ceery21146:0.0709667532)97:0.0064512515)79:0.0039773409,Ccgol2213:0.0789240770)100:0.0157498786)100:0.0302704963,Cvar27099:0.3208874561,Cuund34614:0.1257790138);"
"Chr1_RagTag.64600001-64800000.min4.phy.treefile","Chr1",64600001,64800000,"((Crnoc59478:0.1306130871,((Cratr320360:0.0870619478,(Cstr9577:0.0594905330,Ceery21146:0.0737840145)98:0.0053951795)86:0.0060908386,Ccgol2213:0.0785789590)100:0.0145665676)100:0.0305754717,Cvar27099:0.3145304544,Cuund34614:0.1474447526);"
"Chr1_RagTag.64800001-65000000.min4.phy.treefile","Chr1",64800001,6.5e+07,"((Crnoc59478:0.1112318501,(Cratr320360:0.0888048514,((Cstr9577:0.0657789079,Ceery21146:0.0637473128)77:0.0045648307,Ccgol2213:0.0794335442)71:0.0027970984)100:0.0152409523)100:0.0330105299,Cvar27099:0.3143242401,Cuund34614:0.1182101956);"
"Chr1_RagTag.65000001-65200000.min4.phy.treefile","Chr1",65000001,65200000,"((Crnoc59478:0.1094994793,(Cratr320360:0.0829812254,((Cstr9577:0.0599525123,Ceery21146:0.0651246324)98:0.0067447227,Ccgol2213:0.0858034357)64:0.0044536292)100:0.0132171581)100:0.0392965490,Cvar27099:0.3116952446,Cuund34614:0.1329030072);"
"Chr1_RagTag.65200001-65400000.min4.phy.treefile","Chr1",65200001,65400000,"((Crnoc59478:0.1130432134,(Cratr320360:0.0892079302,(Cstr9577:0.0703972796,(Ceery21146:0.0698825262,Ccgol2213:0.0805098788)58:0.0051419300)96:0.0055133538)100:0.0176065963)100:0.0400782513,Cvar27099:0.3564549371,Cuund34614:0.1387659975);"
"Chr1_RagTag.65400001-65600000.min4.phy.treefile","Chr1",65400001,65600000,"((Crnoc59478:0.1055695351,(((Cratr320360:0.0800346861,Cstr9577:0.0706558340)90:0.0081099145,Ceery21146:0.0749391063)56:0.0043415103,Ccgol2213:0.0767162904)100:0.0139032987)100:0.0277052750,Cvar27099:0.3578865665,Cuund34614:0.1234645103);"
"Chr1_RagTag.65600001-65800000.min4.phy.treefile","Chr1",65600001,65800000,"((Crnoc59478:0.1150599721,(((Cratr320360:0.0837839950,Ccgol2213:0.0794910117)60:0.0047186535,Cstr9577:0.0718360697)43:0.0042736096,Ceery21146:0.0811189721)100:0.0203207395)100:0.0250221947,Cvar27099:0.3205790563,Cuund34614:0.1256275171);"
"Chr1_RagTag.65800001-66000000.min4.phy.treefile","Chr1",65800001,6.6e+07,"((Crnoc59478:0.1217657747,((Cratr320360:0.0834892997,(Cstr9577:0.0629487924,Ceery21146:0.0652999243)87:0.0052560969)78:0.0038560711,Ccgol2213:0.0763774258)100:0.0155253041)100:0.0283899136,Cvar27099:0.3443793785,Cuund34614:0.1403237547);"
"Chr1_RagTag.66000001-66200000.min4.phy.treefile","Chr1",66000001,66200000,"((Crnoc59478:0.1188888084,((Cratr320360:0.0815447223,(Cstr9577:0.0616123966,Ceery21146:0.0605772941)100:0.0052126436)100:0.0049419643,Ccgol2213:0.0814259458)100:0.0143501280)100:0.0480265068,Cvar27099:0.3973093683,Cuund34614:0.1457834590);"
"Chr1_RagTag.66200001-66400000.min4.phy.treefile","Chr1",66200001,66400000,"((Crnoc59478:0.1280178586,((Cratr320360:0.0795624429,(Cstr9577:0.0565644900,Ceery21146:0.0583923980)89:0.0020356627)88:0.0016318333,Ccgol2213:0.0753137427)100:0.0362414928)100:0.0346328128,Cvar27099:0.3689126749,Cuund34614:0.1402200972);"
"Chr1_RagTag.66400001-66600000.min4.phy.treefile","Chr1",66400001,66600000,"((Crnoc59478:0.1151927826,(Cratr320360:0.0860984048,((Cstr9577:0.0705146833,Ceery21146:0.0728003775)77:0.0049104768,Ccgol2213:0.0785232476)54:0.0043638670)100:0.0207914777)100:0.0434973383,Cvar27099:0.3515991362,Cuund34614:0.1493889564);"
"Chr1_RagTag.66600001-66800000.min4.phy.treefile","Chr1",66600001,66800000,"((Crnoc59478:0.1239195542,(Cratr320360:0.0886861990,((Cstr9577:0.0695135115,Ceery21146:0.0695844646)82:0.0040670069,Ccgol2213:0.0812673129)85:0.0047617929)100:0.0182089670)100:0.0384604489,Cvar27099:0.3624234279,Cuund34614:0.1395254140);"
"Chr1_RagTag.66800001-67000000.min4.phy.treefile","Chr1",66800001,6.7e+07,"((Crnoc59478:0.1301196428,((Cratr320360:0.0825151514,(Cstr9577:0.0624895686,Ceery21146:0.0706453016)92:0.0040811462)100:0.0044545796,Ccgol2213:0.0782272570)100:0.0319392242)100:0.0327573943,Cvar27099:0.3705859234,Cuund34614:0.1393105159);"
"Chr1_RagTag.67000001-67200000.min4.phy.treefile","Chr1",67000001,67200000,"((Crnoc59478:0.1370118852,(Cratr320360:0.0742074063,((Cstr9577:0.0532969974,Ceery21146:0.0537449717)100:0.0076079787,Ccgol2213:0.0656796045)83:0.0009704052)100:0.0315503164)100:0.0569441185,Cvar27099:0.4004868453,Cuund34614:0.1538989859);"
"Chr1_RagTag.67200001-67400000.min4.phy.treefile","Chr1",67200001,67400000,"((Crnoc59478:0.1274643684,((Cratr320360:0.0752771126,(Cstr9577:0.0587264815,Ceery21146:0.0596963454)99:0.0026826968)96:0.0017133951,Ccgol2213:0.0710443529)100:0.0215402944)100:0.0330086527,Cvar27099:0.3733369566,Cuund34614:0.1529468211);"
"Chr1_RagTag.67400001-67600000.min4.phy.treefile","Chr1",67400001,67600000,"((Crnoc59478:0.1140722261,((Cratr320360:0.0839876830,(Cstr9577:0.0625858680,Ceery21146:0.0632435940)100:0.0049705108)77:0.0044036154,Ccgol2213:0.0794372486)100:0.0234082989)100:0.0316881687,Cvar27099:0.3637117534,Cuund34614:0.1311384441);"
"Chr1_RagTag.67600001-67800000.min4.phy.treefile","Chr1",67600001,67800000,"((Crnoc59478:0.1202776032,(((Cratr320360:0.0845626824,Cstr9577:0.0649533566)45:0.0038631265,Ceery21146:0.0777391383)61:0.0043617420,Ccgol2213:0.0852946400)100:0.0194829718)100:0.0316514807,Cvar27099:0.3159213157,Cuund34614:0.1316413144);"
"Chr1_RagTag.67800001-68000000.min4.phy.treefile","Chr1",67800001,6.8e+07,"((Crnoc59478:0.1282216987,(((Cratr320360:0.0759922745,Cstr9577:0.0588980323)60:0.0027300386,Ceery21146:0.0667039320)98:0.0030164165,Ccgol2213:0.0811406985)100:0.0363757202)100:0.0300003369,Cvar27099:0.3796990124,Cuund34614:0.1418291159);"
"Chr1_RagTag.68000001-68200000.min4.phy.treefile","Chr1",68000001,68200000,"((Crnoc59478:0.1308100535,(Cratr320360:0.0753073019,((Cstr9577:0.0576325482,Ceery21146:0.0593013943)45:0.0016145658,Ccgol2213:0.0665094709)43:0.0015459938)100:0.0361448238)100:0.0254812798,Cvar27099:0.4259328343,Cuund34614:0.1441549707);"
"Chr1_RagTag.68200001-68400000.min4.phy.treefile","Chr1",68200001,68400000,"((Crnoc59478:0.1161217088,((Cratr320360:0.0862076794,(Cstr9577:0.0589422780,Ceery21146:0.0638480227)100:0.0038626822)75:0.0026298741,Ccgol2213:0.0744231524)100:0.0220994083)100:0.0523634894,Cvar27099:0.3592387633,Cuund34614:0.1640495988);"
"Chr1_RagTag.68400001-68600000.min4.phy.treefile","Chr1",68400001,68600000,"((Crnoc59478:0.1251765200,((Cratr320360:0.0787231311,(Cstr9577:0.0514558983,Ceery21146:0.0611007502)100:0.0055351824)100:0.0035810940,Ccgol2213:0.0732047375)100:0.0299801821)100:0.0215661279,Cvar27099:0.3854875593,Cuund34614:0.1298028580);"
"Chr1_RagTag.68600001-68800000.min4.phy.treefile","Chr1",68600001,68800000,"((Crnoc59478:0.1189547955,((Cratr320360:0.0733711598,(Cstr9577:0.0560489101,Ceery21146:0.0618450975)50:0.0008566477)78:0.0031058334,Ccgol2213:0.0677518803)100:0.0353997899)100:0.0414415155,Cvar27099:0.3703427481,Cuund34614:0.1280612535);"
"Chr1_RagTag.68800001-69000000.min4.phy.treefile","Chr1",68800001,6.9e+07,"((Crnoc59478:0.1196457977,((Cratr320360:0.0789521051,(Cstr9577:0.0579920235,Ceery21146:0.0557943333)99:0.0029458816)99:0.0036616759,Ccgol2213:0.0646957909)100:0.0202482601)100:0.0419195340,Cvar27099:0.3636654472,Cuund34614:0.1389636631);"
"Chr1_RagTag.69000001-69200000.min4.phy.treefile","Chr1",69000001,69200000,"((Crnoc59478:0.1194362450,((Cratr320360:0.0777164454,(Cstr9577:0.0582974296,Ceery21146:0.0589074115)100:0.0040368261)51:0.0014196744,Ccgol2213:0.0695763285)100:0.0255525661)100:0.0458661407,Cvar27099:0.3534779729,Cuund34614:0.1668823166);"
"Chr1_RagTag.69200001-69400000.min4.phy.treefile","Chr1",69200001,69400000,"((Crnoc59478:0.1261348499,((Cratr320360:0.0776947903,(Cstr9577:0.0535163240,Ceery21146:0.0540957015)100:0.0084657914)36:0.0001009766,Ccgol2213:0.0683490375)100:0.0219807706)100:0.0566792683,Cvar27099:0.3706566265,Cuund34614:0.1518548557);"
"Chr1_RagTag.69400001-69600000.min4.phy.treefile","Chr1",69400001,69600000,"((Crnoc59478:0.1200656733,(((Cratr320360:0.0742961255,Cstr9577:0.0580768751)100:0.0068028524,Ceery21146:0.0723663813)94:0.0037147037,Ccgol2213:0.0758401678)100:0.0253771226)100:0.0380440567,Cvar27099:0.3570373283,Cuund34614:0.1350069080);"
"Chr1_RagTag.69600001-69800000.min4.phy.treefile","Chr1",69600001,69800000,"((Crnoc59478:0.1281069926,(Cratr320360:0.0767619526,((Cstr9577:0.0572890042,Ceery21146:0.0607256262)55:0.0012280600,Ccgol2213:0.0652152906)77:0.0023321827)100:0.0310040200)100:0.0276940573,Cvar27099:0.3576111686,Cuund34614:0.1359933985);"
"Chr1_RagTag.69800001-70000000.min4.phy.treefile","Chr1",69800001,7e+07,"((Crnoc59478:0.1359467012,(Cratr320360:0.0754802582,((Cstr9577:0.0576221354,Ceery21146:0.0610070450)100:0.0026481979,Ccgol2213:0.0666404965)99:0.0020888745)100:0.0301769776)100:0.0459441920,Cvar27099:0.3662330867,Cuund34614:0.1633999931);"
"Chr1_RagTag.70000001-70200000.min4.phy.treefile","Chr1",70000001,70200000,"((Crnoc59478:0.1355390388,(Cratr320360:0.0750866973,((Cstr9577:0.0505158923,Ceery21146:0.0641180087)99:0.0021207704,Ccgol2213:0.0674429640)59:0.0008885828)100:0.0339612580)100:0.0366701506,Cvar27099:0.4007360183,Cuund34614:0.1284564217);"
"Chr1_RagTag.70200001-70400000.min4.phy.treefile","Chr1",70200001,70400000,"((Crnoc59478:0.1262782832,((Cratr320360:0.0686921098,(Cstr9577:0.0492424109,Ceery21146:0.0543820007)100:0.0053412273)84:0.0011066397,Ccgol2213:0.0650960161)100:0.0260879216)100:0.0446882854,Cvar27099:0.3722919750,Cuund34614:0.1498869038);"
"Chr1_RagTag.70400001-70600000.min4.phy.treefile","Chr1",70400001,70600000,"((Crnoc59478:0.1205786935,((Cratr320360:0.0754918742,(Cstr9577:0.0516130337,Ceery21146:0.0559013185)100:0.0097950975)100:0.0029423590,Ccgol2213:0.0778931622)100:0.0236350420)100:0.0539356380,Cvar27099:0.3448712145,Cuund34614:0.1471538707);"
"Chr1_RagTag.70600001-70800000.min4.phy.treefile","Chr1",70600001,70800000,"((Crnoc59478:0.1214796468,(Cratr320360:0.0799521875,((Cstr9577:0.0506939664,Ceery21146:0.0575554618)100:0.0090565936,Ccgol2213:0.0698899478)71:0.0008964136)100:0.0251530104)100:0.0538418495,Cvar27099:0.3681427641,Cuund34614:0.1524539857);"
"Chr1_RagTag.70800001-71000000.min4.phy.treefile","Chr1",70800001,7.1e+07,"((Crnoc59478:0.1345582509,((Cratr320360:0.0683658509,Cstr9577:0.0556252393)100:0.0074486459,(Ceery21146:0.0654422431,Ccgol2213:0.0699551279)50:0.0003338551)100:0.0309689518)100:0.0559758592,Cvar27099:0.3655063500,Cuund34614:0.1498508548);"
"Chr1_RagTag.71000001-71200000.min4.phy.treefile","Chr1",71000001,71200000,"((Crnoc59478:0.1262080022,(((Cratr320360:0.0736083544,Cstr9577:0.0586722705)100:0.0063311052,Ccgol2213:0.0737901410)45:0.0000389692,Ceery21146:0.0655423540)100:0.0297359470)100:0.0449625079,Cvar27099:0.3864948980,Cuund34614:0.1641838567);"
"Chr1_RagTag.71200001-71400000.min4.phy.treefile","Chr1",71200001,71400000,"((Crnoc59478:0.1243718116,(Cratr320360:0.0806778601,((Cstr9577:0.0503650556,Ceery21146:0.0601233761)100:0.0071333105,Ccgol2213:0.0743260985)79:0.0009792139)100:0.0347318011)100:0.0489544616,Cvar27099:0.4078812037,Cuund34614:0.1475781576);"
"Chr1_RagTag.71400001-71600000.min4.phy.treefile","Chr1",71400001,71600000,"((Crnoc59478:0.1299373945,(Cratr320360:0.0871645869,((Cstr9577:0.0495550702,Ceery21146:0.0551340371)100:0.0132384262,Ccgol2213:0.0672741215)100:0.0034832749)100:0.0230042845)100:0.0689786598,Cvar27099:0.3921889181,Cuund34614:0.1537670645);"
"Chr1_RagTag.71600001-71800000.min4.phy.treefile","Chr1",71600001,71800000,"((Crnoc59478:0.1171557845,(Cratr320360:0.0889367022,((Cstr9577:0.0496921223,Ceery21146:0.0647764913)100:0.0136064464,Ccgol2213:0.0735866072)94:0.0017584225)100:0.0259657518)100:0.0813863001,Cvar27099:0.3863258435,Cuund34614:0.1551958875);"
"Chr1_RagTag.71800001-72000000.min4.phy.treefile","Chr1",71800001,7.2e+07,"((Crnoc59478:0.1226339997,(Cratr320360:0.0890454875,((Cstr9577:0.0476609594,Ceery21146:0.0563807610)100:0.0155846113,Ccgol2213:0.0764244002)99:0.0027473355)100:0.0209700126)100:0.0688254277,Cvar27099:0.4116207261,Cuund34614:0.1741731682);"
