scaffold	start	end	mid	sites	sitesUsed	ABBA	BABA	D	fd	fdM	fdM_zscore	fdM_pvalue	fdM_abs	fdM_pvalue_adj	fdM_sig_005	fdM_sig_001	fdM_pvalue_bonferroni	busco_ids	busco_descriptions	gene_count	busco_ids.500kb	gene_count.500kb
1	64900001	65000000	64949228	6831	2675	74.5	60.5	0.1037	0.0234	0.0142	-0.4249667639591069	0.6708609034448245	0.0142	0.9975364377295958	FALSE	FALSE	1			0	27109at8782,5055at8782,44962at8782,34161at8782,26722at8782	5
1	65000001	65100000	65051162	6861	2705	61	47.75	0.1218	0.0211	0.013	-0.4664456450815947	0.6408965456791478	0.013	0.9975364377295958	FALSE	FALSE	1			0	27109at8782,5055at8782,44962at8782,34161at8782,26722at8782,25802at8782	6
1	65100001	65200000	65147609	5800	2479	71.25	44.25	0.2338	0.0527	0.0312	0.1626507186094701	0.8707934509981554	0.0312	0.9975364377295958	FALSE	FALSE	1	27109at8782,5055at8782	ethanolamine kinase 1,C2 domain	2	27109at8782,5055at8782,44962at8782,34161at8782,26722at8782,25802at8782,32186at8782,12588at8782	8
1	65200001	65300000	65252464	6127	2536	77.875	42.125	0.2979	0.0542	0.0328	0.21795589343945396	0.8274634771606872	0.0328	0.9975364377295958	FALSE	FALSE	1	5055at8782,44962at8782	C2 domain,alpha-N-acetylneuraminide alpha-2,8-sialyltransferase	2	27109at8782,5055at8782,44962at8782,34161at8782,26722at8782,25802at8782,32186at8782,12588at8782,52920at8782	9
1	65300001	65400000	65347799	7211	3057	72.25	70	0.0158	0.0035	0.0022	-0.8397555751839848	0.4010454465581914	0.0022	0.9975364377295958	FALSE	FALSE	1	44962at8782	alpha-N-acetylneuraminide alpha-2,8-sialyltransferase	1	27109at8782,5055at8782,44962at8782,34161at8782,26722at8782,25802at8782,32186at8782,12588at8782,52920at8782	9
1	65400001	65500000	65451496	6754	2588	86.25	56.5	0.2084	0.0489	0.0301	0.12462841091385628	0.9008177350938977	0.0301	0.9975364377295958	FALSE	FALSE	1	34161at8782,26722at8782	sulfotransferase 6B1-like,Acylneuraminate cytidylyltransferase	2	27109at8782,5055at8782,44962at8782,34161at8782,26722at8782,25802at8782,32186at8782,12588at8782,52920at8782	9
1	65500001	65600000	65550180	6783	2618	92.875	66.125	0.1682	0.045	0.0287	0.07623638293762058	0.9392310375033444	0.0287	0.9975364377295958	FALSE	FALSE	1	25802at8782	Potassium channel, inwardly rectifying, Kir	1	27109at8782,5055at8782,44962at8782,34161at8782,26722at8782,25802at8782,32186at8782,12588at8782,52920at8782,31065at8782	10
1	65600001	65700000	65647829	6570	2595	62.75	81.25	-0.1285	-0.0281	-0.018	-1.5379834074125291	0.12405267183039137	0.018	0.9975364377295958	FALSE	FALSE	1	32186at8782,12588at8782	Lactate/malate dehydrogenase, C-terminal,Glycogen	2	27109at8782,5055at8782,44962at8782,34161at8782,26722at8782,25802at8782,32186at8782,12588at8782,52920at8782,31065at8782,39286at8782	11
1	65700001	65800000	65749993	6298	2450	63.625	46.375	0.1568	0.0296	0.0184	-0.27979068003039964	0.7796381025082915	0.0184	0.9975364377295958	FALSE	FALSE	1	12588at8782,52920at8782	Glycogen,Complex 1 LYR protein	2	5055at8782,44962at8782,34161at8782,26722at8782,25802at8782,32186at8782,12588at8782,52920at8782,31065at8782,39286at8782	10
1	65800001	65900000	65852999	7143	2894	85.625	68.875	0.1084	0.0263	0.0162	-0.35583529542162723	0.7219639148789871	0.0162	0.9975364377295958	FALSE	FALSE	1			0	44962at8782,34161at8782,26722at8782,25802at8782,32186at8782,12588at8782,52920at8782,31065at8782,39286at8782	9
1	65900001	66000000	65946715	7239	2875	72.375	47.125	0.2113	0.0417	0.0259	-0.020547673014850942	0.9836064825250814	0.0259	0.9979764988129116	FALSE	FALSE	1			0	34161at8782,26722at8782,25802at8782,32186at8782,12588at8782,52920at8782,31065at8782,39286at8782,11224at8782,42989at8782,18451at8782	11
1	66000001	66100000	66050945	6114	2544	78.5	44	0.2816	0.0552	0.0329	0.22141246686632782	0.8247712861522822	0.0329	0.9975364377295958	FALSE	FALSE	1	31065at8782	ras association domain-containing protein 8	1	25802at8782,32186at8782,12588at8782,52920at8782,31065at8782,39286at8782,11224at8782,42989at8782,18451at8782,48971at8782	10
1	66100001	66200000	66152421	6922	2729	52	48	0.04	0.007	0.0042	-0.7706241066465052	0.44092976813455165	0.0042	0.9975364377295958	FALSE	FALSE	1	31065at8782,39286at8782	ras association domain-containing protein 8,CD20-like family	2	32186at8782,12588at8782,52920at8782,31065at8782,39286at8782,11224at8782,42989at8782,18451at8782,48971at8782,14056at8782	10
1	66200001	66300000	66250821	6208	2578	41	30.25	0.1509	0.0192	0.012	-0.5010113793503345	0.6163631144018031	0.012	0.9975364377295958	FALSE	FALSE	1			0	12588at8782,52920at8782,31065at8782,39286at8782,11224at8782,42989at8782,18451at8782,48971at8782,14056at8782,7184at8782,32322at8782,35497at8782	12
1	66300001	66400000	66350801	6102	2591	29.5	28.5	0.0172	0.0019	0.0011	-0.8777778828795986	0.3800642692434535	0.0011	0.9975364377295958	FALSE	FALSE	1			0	31065at8782,39286at8782,11224at8782,42989at8782,18451at8782,48971at8782,14056at8782,7184at8782,32322at8782,35497at8782,20860at8782,22540at8782	12
1	66400001	66500000	66450190	6917	2990	71.375	56.875	0.1131	0.022	0.0141	-0.4284233373859809	0.6683429368566625	0.0141	0.9975364377295958	FALSE	FALSE	1	11224at8782,42989at8782,18451at8782	Protein asunder,SIKE family,transmembrane 7 superfamily member 3	3	31065at8782,39286at8782,11224at8782,42989at8782,18451at8782,48971at8782,14056at8782,7184at8782,32322at8782,35497at8782,20860at8782,22540at8782,22562at8782,40238at8782,46233at8782,12933at8782	16
1	66500001	66600000	66548575	6082	2648	66.125	43.625	0.205	0.0361	0.0229	-0.1242448758210704	0.9011213917144825	0.0229	0.9975364377295958	FALSE	FALSE	1	18451at8782,48971at8782	transmembrane 7 superfamily member 3,Mediator complex, subunit Med21	2	31065at8782,39286at8782,11224at8782,42989at8782,18451at8782,48971at8782,14056at8782,7184at8782,32322at8782,35497at8782,20860at8782,22540at8782,22562at8782,40238at8782,46233at8782,12933at8782	16
1	66600001	66700000	66655603	6987	2949	66.125	52.625	0.1137	0.022	0.0129	-0.46990221850846864	0.6384248792205414	0.0129	0.9975364377295958	FALSE	FALSE	1	14056at8782	PAS fold	1	31065at8782,39286at8782,11224at8782,42989at8782,18451at8782,48971at8782,14056at8782,7184at8782,32322at8782,35497at8782,20860at8782,22540at8782,22562at8782,40238at8782,46233at8782,12933at8782	16
1	66700001	66800000	66747586	6943	2868	68	79.5	-0.078	-0.017	-0.0106	-1.2821969738238546	0.19977355752378712	0.0106	0.9975364377295958	FALSE	FALSE	1	7184at8782,32322at8782,35497at8782	Sterile alpha motif domain,Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain,EndoU ribonuclease, C-terminal	3	11224at8782,42989at8782,18451at8782,48971at8782,14056at8782,7184at8782,32322at8782,35497at8782,20860at8782,22540at8782,22562at8782,40238at8782,46233at8782,12933at8782	14
1	66800001	66900000	66853160	5358	2144	68.5	24	0.4811	0.0776	0.049	0.7779207885930391	0.43661571198188653	0.049	0.9975364377295958	FALSE	FALSE	1	20860at8782,22540at8782	ADP-ribosylation factor GTPase-activating protein 3,SH3 domain	2	11224at8782,42989at8782,18451at8782,48971at8782,14056at8782,7184at8782,32322at8782,35497at8782,20860at8782,22540at8782,22562at8782,40238at8782,46233at8782,12933at8782	14
1	66900001	67000000	66952515	5565	2218	40.75	21.5	0.3092	0.0302	0.0204	-0.2106592114929199	0.8331532048218264	0.0204	0.9975364377295958	FALSE	FALSE	1	22540at8782,22562at8782,40238at8782,46233at8782,12933at8782	SH3 domain,Tubulin-tyrosine ligase/Tubulin polyglutamylase,Acyl transferase,translocator protein,tubulin--tyrosine ligase-like protein 12	5	11224at8782,42989at8782,18451at8782,48971at8782,14056at8782,7184at8782,32322at8782,35497at8782,20860at8782,22540at8782,22562at8782,40238at8782,46233at8782,12933at8782,35936at8782,21885at8782	16
1	67000001	67100000	67048493	5103	2031	14	8.5	0.2444	0.0109	0.0073	-0.6634703304134116	0.5070293754137707	0.0073	0.9975364377295958	FALSE	FALSE	1	12933at8782	tubulin--tyrosine ligase-like protein 12	1	18451at8782,48971at8782,14056at8782,7184at8782,32322at8782,35497at8782,20860at8782,22540at8782,22562at8782,40238at8782,46233at8782,12933at8782,35936at8782,21885at8782,21185at8782,35895at8782	16
1	67100001	67200000	67150134	4907	2065	12	6.75	0.28	0.0094	0.0062	-0.7014926381090254	0.4829956273655318	0.0062	0.9975364377295958	FALSE	FALSE	1			0	14056at8782,7184at8782,32322at8782,35497at8782,20860at8782,22540at8782,22562at8782,40238at8782,46233at8782,12933at8782,35936at8782,21885at8782,21185at8782,35895at8782,47370at8782	15
1	67200001	67300000	67251121	5378	2052	24.75	14.5	0.2611	0.019	0.0122	-0.4940982324965865	0.6212368060882885	0.0122	0.9975364377295958	FALSE	FALSE	1			0	7184at8782,32322at8782,35497at8782,20860at8782,22540at8782,22562at8782,40238at8782,46233at8782,12933at8782,35936at8782,21885at8782,21185at8782,35895at8782,47370at8782	14
1	67300001	67400000	67346341	6199	2498	40.5	29	0.1655	0.0201	0.0125	-0.4837285122159646	0.6285785554216741	0.0125	0.9975364377295958	FALSE	FALSE	1			0	20860at8782,22540at8782,22562at8782,40238at8782,46233at8782,12933at8782,35936at8782,21885at8782,21185at8782,35895at8782,47370at8782	11
1	67400001	67500000	67449960	5392	2237	52	57.5	-0.0502	-0.0102	-0.0062	-1.1301077430413993	0.2584308274394702	0.0062	0.9975364377295958	FALSE	FALSE	1	35936at8782,21885at8782	Sulfotransferase domain,Patatin-like phospholipase domain	2	22540at8782,22562at8782,40238at8782,46233at8782,12933at8782,35936at8782,21885at8782,21185at8782,35895at8782,47370at8782	10
1	67500001	67600000	67552348	6311	2441	59.25	22.75	0.4451	0.0699	0.0423	0.5463303689924821	0.5848388644185265	0.0423	0.9975364377295958	FALSE	FALSE	1	21885at8782,21185at8782,35895at8782	Patatin-like phospholipase domain,Bacterial surface antigen (D15),Calponin homology domain	3	12933at8782,35936at8782,21885at8782,21185at8782,35895at8782,47370at8782,24767at8782	7
1	67600001	67700000	67648822	6428	2154	74.5	50	0.1968	0.0477	0.0283	0.062410089230124616	0.9502362605803629	0.0283	0.9975364377295958	FALSE	FALSE	1	35895at8782,47370at8782	Calponin homology domain,Shisa family	2	35936at8782,21885at8782,21185at8782,35895at8782,47370at8782,24767at8782,22849at8782	7
1	67700001	67800000	67751418	6469	2450	47	21.75	0.3673	0.047	0.027	0.017474634680762872	0.9860579683492634	0.027	0.9984146830363755	FALSE	FALSE	1			0	35936at8782,21885at8782,21185at8782,35895at8782,47370at8782,24767at8782,22849at8782	7
1	67800001	67900000	67850734	7013	2693	71.25	24.25	0.4921	0.073	0.0459	0.6707670123599457	0.502368965202906	0.0459	0.9975364377295958	FALSE	FALSE	1			0	35936at8782,21885at8782,21185at8782,35895at8782,47370at8782,24767at8782,22849at8782	7
1	67900001	68000000	67949035	6463	2560	72.25	25	0.4859	0.0677	0.0434	0.5843526766880961	0.5589830584920672	0.0434	0.9975364377295958	FALSE	FALSE	1			0	35936at8782,21885at8782,21185at8782,35895at8782,47370at8782,24767at8782,22849at8782,28373at8782,25102at8782	9
1	68000001	68100000	68048603	6917	2491	37.875	27.125	0.1654	0.0163	0.0111	-0.5321205401922003	0.5946425121028918	0.0111	0.9975364377295958	FALSE	FALSE	1	24767at8782	proline-rich protein 5	1	21885at8782,21185at8782,35895at8782,47370at8782,24767at8782,22849at8782,28373at8782,25102at8782,3787at8782	9
1	68100001	68200000	68154608	6101	2485	42.75	28.5	0.2	0.0265	0.0167	-0.33855242828725735	0.7349469249464371	0.0167	0.9975364377295958	FALSE	FALSE	1	22849at8782	Zinc finger, PHD-finger	1	35895at8782,47370at8782,24767at8782,22849at8782,28373at8782,25102at8782,3787at8782,34299at8782	8
1	68200001	68300000	68253486	6124	2594	31.5	29.25	0.037	0.0043	0.0026	-0.8259292814764888	0.40884420909673924	0.0026	0.9975364377295958	FALSE	FALSE	1	22849at8782	Zinc finger, PHD-finger	1	24767at8782,22849at8782,28373at8782,25102at8782,3787at8782,34299at8782,23791at8782	7
1	68300001	68400000	68350077	7078	3035	57.25	42	0.1537	0.0219	0.0141	-0.4284233373859809	0.6683429368566625	0.0141	0.9975364377295958	FALSE	FALSE	1			0	24767at8782,22849at8782,28373at8782,25102at8782,3787at8782,34299at8782,23791at8782	7
1	68400001	68500000	68455405	7117	2893	35.375	33.875	0.0217	0.0023	0.0015	-0.8639515891721026	0.3876144850701422	0.0015	0.9975364377295958	FALSE	FALSE	1	28373at8782,25102at8782	Nuclear pore complex, NUP2/50/61,Protein of unknown function DUF2045	2	24767at8782,22849at8782,28373at8782,25102at8782,3787at8782,34299at8782,23791at8782	7
1	68500001	68600000	68549666	6281	2218	61.25	14.5	0.6172	0.0871	0.056	1.0198809284742179	0.307784935501457	0.056	0.9975364377295958	FALSE	FALSE	1	3787at8782	structural maintenance of chromosomes protein 1B	1	24767at8782,22849at8782,28373at8782,25102at8782,3787at8782,34299at8782,23791at8782	7
1	68600001	68700000	68649514	6162	2372	37.75	18.5	0.3422	0.0397	0.0265	1.9176754639294561e-4	0.9998469916364079	0.0265	0.9998469916364079	FALSE	FALSE	1	3787at8782,34299at8782	structural maintenance of chromosomes protein 1B,RIB43A	2	22849at8782,28373at8782,25102at8782,3787at8782,34299at8782,23791at8782	6
1	68700001	68800000	68748830	5711	2344	47	26	0.2877	0.0381	0.0248	-0.058569980710464764	0.953294621543598	0.0248	0.9975364377295958	FALSE	FALSE	1	23791at8782	ataxin-10	1	22849at8782,28373at8782,25102at8782,3787at8782,34299at8782,23791at8782	6
1	68800001	68900000	68851162	5718	2348	58.5	24.75	0.4054	0.0565	0.0364	0.3423925368069173	0.7320555042407664	0.0364	0.9975364377295958	FALSE	FALSE	1	23791at8782	ataxin-10	1	28373at8782,25102at8782,3787at8782,34299at8782,23791at8782	5
1	68900001	69000000	68949924	5884	2180	21.5	44	-0.3435	-0.0457	-0.03	-1.9527722186374072	0.050846591842109934	0.03	0.9975364377295958	FALSE	FALSE	1			0	28373at8782,25102at8782,3787at8782,34299at8782,23791at8782,20740at8782,49389at8782,21113at8782	8
1	69000001	69100000	69049703	5326	2117	46.875	19.375	0.4151	0.056	0.0376	0.3838714179294051	0.7010737515872099	0.0376	0.9975364377295958	FALSE	FALSE	1			0	3787at8782,34299at8782,23791at8782,20740at8782,49389at8782,21113at8782,15109at8782	7
1	69100001	69200000	69148370	5165	2267	18.25	7	0.4455	0.021	0.0138	-0.4387930576666028	0.6608114911011231	0.0138	0.9975364377295958	FALSE	FALSE	1			0	3787at8782,34299at8782,23791at8782,20740at8782,49389at8782,21113at8782,15109at8782,22784at8782	8
1	69200001	69300000	69248629	4470	1910	11.875	15.875	-0.1441	-0.0087	-0.0057	-1.1128248759070294	0.2657836494342767	0.0057	0.9975364377295958	FALSE	FALSE	1			0	23791at8782,20740at8782,49389at8782,21113at8782,15109at8782,22784at8782	6
1	69300001	69400000	69349492	5564	2207	19.5	24	-0.1034	-0.0096	-0.0062	-1.1301077430413993	0.2584308274394702	0.0062	0.9975364377295958	FALSE	FALSE	1			0	23791at8782,20740at8782,49389at8782,21113at8782,15109at8782,22784at8782	6
1	69400001	69500000	69447386	4702	1862	57.75	6	0.8118	0.124	0.0786	1.8010665229477378	0.07169239548958672	0.0786	0.9975364377295958	FALSE	FALSE	1	20740at8782,49389at8782,21113at8782	peroxisome proliferator-activated receptor alpha,Cysteine-rich DPF motif domain-containing protein 1,tetratricopeptide repeat protein 38	3	20740at8782,49389at8782,21113at8782,15109at8782,22784at8782,30153at8782,49675at8782	7
1	69500001	69600000	69549272	5893	2394	82.625	41.125	0.3354	0.0733	0.0472	0.7157024669093073	0.4741750872392714	0.0472	0.9975364377295958	FALSE	FALSE	1	21113at8782,15109at8782	tetratricopeptide repeat protein 38,poly	2	20740at8782,49389at8782,21113at8782,15109at8782,22784at8782,30153at8782,49675at8782	7
1	69600001	69700000	69649131	5870	2312	24	30.5	-0.1193	-0.0118	-0.0078	-1.185412917871383	0.23585422671075018	0.0078	0.9975364377295958	FALSE	FALSE	1	22784at8782	Ets domain	1	20740at8782,49389at8782,21113at8782,15109at8782,22784at8782,30153at8782,49675at8782	7
1	69700001	69800000	69748272	6313	2345	23.75	34.75	-0.188	-0.022	-0.0142	-1.4066336171913179	0.15953605930031967	0.0142	0.9975364377295958	FALSE	FALSE	1	22784at8782	Ets domain	1	20740at8782,49389at8782,21113at8782,15109at8782,22784at8782,30153at8782,49675at8782	7
1	69800001	69900000	69848923	6026	2578	27.5	27.5	0	0	0	-0.9158001905752123	0.3597717035437429	0	0.9975364377295958	FALSE	FALSE	1			0	20740at8782,49389at8782,21113at8782,15109at8782,22784at8782,30153at8782,49675at8782	7
1	69900001	70000000	69950228	5640	2214	16.5	18.5	-0.0571	-0.0037	-0.0026	-1.005671099673936	0.31457380973776883	0.0026	0.9975364377295958	FALSE	FALSE	1	30153at8782,49675at8782	MANSC domain-containing protein 1,BLOC-1-related complex subunit 5	2	20740at8782,49389at8782,21113at8782,15109at8782,22784at8782,30153at8782,49675at8782	7
1	70000001	70100000	70045262	5252	2013	25.75	18.25	0.1705	0.0164	0.0101	-0.5666862744609401	0.5709273476993593	0.0101	0.9975364377295958	FALSE	FALSE	1	49675at8782	BLOC-1-related complex subunit 5	1	21113at8782,15109at8782,22784at8782,30153at8782,49675at8782	5
1	70100001	70200000	70147192	5795	2192	16.25	20.25	-0.1096	-0.0079	-0.0052	-1.0955420087726595	0.27327925189611935	0.0052	0.9975364377295958	FALSE	FALSE	1			0	22784at8782,30153at8782,49675at8782	3
1	70200001	70300000	70253834	4599	1703	16.125	10.875	0.1944	0.0135	0.0086	-0.6185348758640499	0.536222815563506	0.0086	0.9975364377295958	FALSE	FALSE	1			0	22784at8782,30153at8782,49675at8782,31747at8782	4
1	70300001	70400000	70351058	4953	1938	16.75	10	0.2523	0.0146	0.0099	-0.573599421314688	0.5662389034554578	0.0099	0.9975364377295958	FALSE	FALSE	1			0	30153at8782,49675at8782,31747at8782,36550at8782	4
1	70400001	70500000	70450197	5403	2196	39.25	9.5	0.6103	0.0594	0.0372	0.370045124221909	0.7113488687735232	0.0372	0.9975364377295958	FALSE	FALSE	1			0	30153at8782,49675at8782,31747at8782,36550at8782,47776at8782	5
1	70500001	70600000	70550134	5461	2341	24	17.25	0.1636	0.0123	0.0078	-0.6461874632790419	0.5181579575726873	0.0078	0.9975364377295958	FALSE	FALSE	1			0	49675at8782,31747at8782,36550at8782,47776at8782	4
1	70600001	70700000	70652714	4948	2068	15.25	8	0.3118	0.016	0.0103	-0.5597731276071922	0.5756341952756276	0.0103	0.9975364377295958	FALSE	FALSE	1			0	31747at8782,36550at8782,47776at8782	3
1	70700001	70800000	70752963	5044	2054	27.25	23.5	0.0739	0.0075	0.0048	-0.7498846660852613	0.4533241704757962	0.0048	0.9975364377295958	FALSE	FALSE	1	31747at8782	Ribosomal protein S24/S35, mitochondrial, conserved domain	1	31747at8782,36550at8782,47776at8782	3
1	70800001	70900000	70850584	5243	2174	53.875	6.125	0.7958	0.0988	0.0619	1.2238187606597826	0.22102060545626756	0.0619	0.9975364377295958	FALSE	FALSE	1	31747at8782,36550at8782	Ribosomal protein S24/S35, mitochondrial, conserved domain,MANSC domain-containing protein 4	2	31747at8782,36550at8782,47776at8782	3
1	70900001	71000000	70950009	4856	1903	41.625	6.375	0.7344	0.0801	0.05	0.8124865228617789	0.4165125167456585	0.05	0.9975364377295958	FALSE	FALSE	1	47776at8782	parathyroid hormone-related protein	1	31747at8782,36550at8782,47776at8782,2555at8782	4
1	71000001	71100000	71047397	4350	1865	43.875	6.875	0.7291	0.08	0.0486	0.764094494885543	0.4448109327046814	0.0486	0.9975364377295958	FALSE	FALSE	1			0	31747at8782,36550at8782,47776at8782,2555at8782,45166at8782,361at8782	6
1	71100001	71200000	71151866	4598	1833	34.25	9.25	0.5747	0.0522	0.0344	0.2732610682694376	0.7846525398197446	0.0344	0.9975364377295958	FALSE	FALSE	1			0	31747at8782,36550at8782,47776at8782,2555at8782,45166at8782,361at8782	6
1	71200001	71300000	71249472	4994	2073	26	14.5	0.284	0.024	0.0147	-0.407683896824737	0.683505761317079	0.0147	0.9975364377295958	FALSE	FALSE	1			0	31747at8782,36550at8782,47776at8782,2555at8782,45166at8782,361at8782	6
1	71300001	71400000	71348945	4923	1983	22.25	10.75	0.3485	0.0222	0.0145	-0.4145970436784849	0.6784369127264491	0.0145	0.9975364377295958	FALSE	FALSE	1			0	31747at8782,36550at8782,47776at8782,2555at8782,45166at8782,361at8782,35746at8782	7
1	71400001	71500000	71452092	4199	1741	9	7.25	0.1077	0.0038	0.0026	-0.8259292814764888	0.40884420909673924	0.0026	0.9975364377295958	FALSE	FALSE	1	2555at8782	rho guanine nucleotide exchange factor 5	1	47776at8782,2555at8782,45166at8782,361at8782,35746at8782	5
1	71500001	71600000	71550403	4154	1729	6.5	12.25	-0.3067	-0.0118	-0.0077	-1.1819563444445091	0.237223023302072	0.0077	0.9975364377295958	FALSE	FALSE	1	45166at8782,361at8782	CD9 antigen,von Willebrand factor	2	2555at8782,45166at8782,361at8782,35746at8782	4
1	71600001	71700000	71649447	4565	2027	8	11.25	-0.1688	-0.0058	-0.004	-1.0540631276501717	0.29185401613235196	0.004	0.9975364377295958	FALSE	FALSE	1	361at8782	von Willebrand factor	1	2555at8782,45166at8782,361at8782,35746at8782	4
1	71700001	71800000	71743155	4345	1884	11.75	13	-0.0505	-0.0024	-0.0015	-0.9676487919783222	0.33321980061531975	0.0015	0.9975364377295958	FALSE	FALSE	1			0	2555at8782,45166at8782,361at8782,35746at8782	4
1	71800001	71900000	71848588	4527	1974	12.125	12.125	0	0	0	-0.9158001905752123	0.3597717035437429	0	0.9975364377295958	FALSE	FALSE	1	35746at8782	neurotrophin-3	1	2555at8782,45166at8782,361at8782,35746at8782,28624at8782	5
1	71900001	72000000	71950290	4299	1801	14.875	13.625	0.0439	0.0025	0.0016	-0.8604950157452287	0.38951622984487466	0.0016	0.9975364377295958	FALSE	FALSE	1	35746at8782	neurotrophin-3	1	2555at8782,45166at8782,361at8782,35746at8782,28624at8782	5
1	72000001	72100000	72060625	3356	1416	9.125	14.125	-0.2151	-0.014	-0.008	-1.1923260647251308	0.23313341821621525	0.008	0.9975364377295958	FALSE	FALSE	1			0	45166at8782,361at8782,35746at8782,28624at8782,35492at8782,37183at8782	6
1	72100001	72200000	72148811	4704	2044	12	14.25	-0.0857	-0.0041	-0.0027	-1.0091276731008099	0.31291340788640154	0.0027	0.9975364377295958	FALSE	FALSE	1			0	361at8782,35746at8782,28624at8782,35492at8782,37183at8782,16102at8782,39247at8782	7
1	72200001	72300000	72248581	4764	1943	14.5	18.25	-0.1145	-0.0078	-0.0049	-1.0851722884920374	0.277845355260947	0.0049	0.9975364377295958	FALSE	FALSE	1			0	35746at8782,28624at8782,35492at8782,37183at8782,16102at8782,39247at8782,52894at8782,38257at8782	8
1	72300001	72400000	72352606	4071	1721	7.25	7.75	-0.0333	-0.001	-7e-4	-0.9399962045633302	0.34721950752183317	7e-4	0.9975364377295958	FALSE	FALSE	1	28624at8782	NADH dehydrogenase	1	35746at8782,28624at8782,35492at8782,37183at8782,16102at8782,39247at8782,52894at8782,38257at8782,41352at8782,42874at8782,44760at8782,29156at8782	12
1	72400001	72500000	72443353	2967	1266	16.75	13.75	0.0984	0.0089	0.0058	-0.7153189318165214	0.4744119928955588	0.0058	0.9975364377295958	FALSE	FALSE	1			0	35746at8782,28624at8782,35492at8782,37183at8782,16102at8782,39247at8782,52894at8782,38257at8782,41352at8782,42874at8782,44760at8782,29156at8782	12
1	72500001	72600000	72552988	3737	1564	39	12	0.5294	0.0649	0.0427	0.5601566626999782	0.5753725840776271	0.0427	0.9975364377295958	FALSE	FALSE	1	35492at8782,37183at8782	Histidine phosphatase superfamily, clade-1,fibroblast growth factor 23	2	28624at8782,35492at8782,37183at8782,16102at8782,39247at8782,52894at8782,38257at8782,41352at8782,42874at8782,44760at8782,29156at8782	11
1	72600001	72700000	72636120	2885	1203	8.125	9.625	-0.0845	-0.005	-0.003	-1.0194973933814317	0.30796689002375643	0.003	0.9975364377295958	FALSE	FALSE	1	16102at8782,39247at8782	Uncharacterized protein C12orf4,RAD51-associated protein 1	2	28624at8782,35492at8782,37183at8782,16102at8782,39247at8782,52894at8782,38257at8782,41352at8782,42874at8782,44760at8782,29156at8782,14557at8782,34844at8782	13
1	72700001	72800000	72758514	4069	1650	24.5	33.25	-0.1515	-0.0199	-0.0121	-1.3340455752269644	0.1821889206779459	0.0121	0.9975364377295958	FALSE	FALSE	1	52894at8782,38257at8782	Synaptonemal complex central element protein 3,Homeobox domain	2	28624at8782,35492at8782,37183at8782,16102at8782,39247at8782,52894at8782,38257at8782,41352at8782,42874at8782,44760at8782,29156at8782,14557at8782,34844at8782,46348at8782	14
1	72800001	72900000	72851178	5128	2098	68.75	17.75	0.5896	0.0972	0.0596	1.1443175718416811	0.252491958538148	0.0596	0.9975364377295958	FALSE	FALSE	1	41352at8782,42874at8782,44760at8782,29156at8782	Homeobox domain,APOBEC-like, N-terminal,microfibrillar-associated protein 5,ATP-grasp fold, PylC-type	4	28624at8782,35492at8782,37183at8782,16102at8782,39247at8782,52894at8782,38257at8782,41352at8782,42874at8782,44760at8782,29156at8782,14557at8782,34844at8782,46348at8782	14
1	72900001	73000000	72947805	4652	1721	39.5	16.25	0.417	0.0501	0.0319	0.18684673259758794	0.8517808047708035	0.0319	0.9975364377295958	FALSE	FALSE	1	29156at8782	ATP-grasp fold, PylC-type	1	35492at8782,37183at8782,16102at8782,39247at8782,52894at8782,38257at8782,41352at8782,42874at8782,44760at8782,29156at8782,14557at8782,34844at8782,46348at8782	13
1	73000001	73100000	73051509	4962	1884	51.5	5.75	0.7991	0.1018	0.0687	1.4588657536872134	0.14460206052445423	0.0687	0.9975364377295958	FALSE	FALSE	1			0	35492at8782,37183at8782,16102at8782,39247at8782,52894at8782,38257at8782,41352at8782,42874at8782,44760at8782,29156at8782,14557at8782,34844at8782,46348at8782	13
1	73100001	73200000	73149582	5431	1861	52	13	0.6	0.0626	0.0425	0.5532435158462303	0.5800966729841941	0.0425	0.9975364377295958	FALSE	FALSE	1	14557at8782,34844at8782	Polyhomeotic-like 1,Mannose-6-phosphate receptor	2	16102at8782,39247at8782,52894at8782,38257at8782,41352at8782,42874at8782,44760at8782,29156at8782,14557at8782,34844at8782,46348at8782,20727at8782,29346at8782	13
1	73200001	73300000	73249442	5246	1969	44	11.25	0.5928	0.0712	0.0415	0.5186777815774904	0.6039854581519979	0.0415	0.9975364377295958	FALSE	FALSE	1	46348at8782	transmembrane protein 52B	1	52894at8782,38257at8782,41352at8782,42874at8782,44760at8782,29156at8782,14557at8782,34844at8782,46348at8782,20727at8782,29346at8782,19635at8782,38119at8782,12954at8782	14
1	73300001	73400000	73350026	4416	1205	93.875	12.625	0.7629	0.3221	0.1316	3.6330504391909484	2.8009023987207726e-4	0.1316	0.04561124682054775	TRUE	FALSE	1			0	41352at8782,42874at8782,44760at8782,29156at8782,14557at8782,34844at8782,46348at8782,20727at8782,29346at8782,19635at8782,38119at8782,12954at8782,38445at8782,23748at8782	14
